,,,,,,,
,,,,,,,
Site Name,Services Delivered at Site,Health Center Type,Health Center Location Type,Health Center Location Setting,County,State,Grant #
MOSES LAKE COMMUNITY HEALTH CENTER,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Grant County,WA,H80CS00702
"Charles Drew Health Center, Inc.at  Evans Tower",Yes,Service Delivery Site,Permanent,All Other Clinic Types,Douglas County,NE,H80CS00438
St. Thomas Community Health Center Administrative & Service Site,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Orleans Parish,LA,H80CS12863
HealthLinc IUSB Dental,Yes,Service Delivery Site,Permanent,All Other Clinic Types,St. Joseph County,IN,H80CS06662
Hunter Health Clinic at Inter-Faith Ministries,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Sedgwick County,KS,H80CS00622
1515 E Lake St,Yes,Service Delivery Site,Permanent,All Other Clinic Types,DuPage County,IL,H80CS00288
Homeless Clinic at HomeFirst Shelter,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Santa Clara County,CA,H80CS01442
Community Clinic Elkins,Yes,Service Delivery Site,Seasonal,School,Washington County,AR,H80CS04290
Jackson County School Based Wellness Center,Yes,Service Delivery Site,Seasonal,School,Jackson County,WV,H80CS00256
Livonia High School,Yes,Service Delivery Site,Seasonal,School,Pointe Coupee Parish,LA,H80CS00855
MAHEC at Old Fort Elementary,Yes,Service Delivery Site,Seasonal,School,McDowell County,NC,[No Data]
Delhi Middle SBHC,Yes,Service Delivery Site,Seasonal,School,Richland Parish,LA,H80CS24167
Juniper Health Lee County Middle High School,Yes,Service Delivery Site,Seasonal,School,Lee County,KY,H80CS04203
COLONEL RICHARDSON MIDDLE SCHOOL,Yes,Service Delivery Site,Seasonal,School,Caroline County,MD,H80CS00176
"THREE LOWER COUNTIES COMMUNITY SERVICES,",Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Somerset County,MD,H80CS00774
Lytle Community Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Atascosa County,TX,H80CS00405
Healthy Connections - Little Rock Midtown Ste 200,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Pulaski County,AR,H80CS00279
Vision Van #6,Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Lucas County,OH,H80CS04212
LCHC & Kohler School District,Yes,Service Delivery Site,Seasonal,School,Sheboygan County,WI,H80CS24152
NEON Dental Mobile Unit,Yes,Service Delivery Site,Mobile Van,School,Cuyahoga County,OH,H80CS00191
"Community Medical Centers, Weberstown Dental",Yes,Service Delivery Site,Permanent,All Other Clinic Types,San Joaquin County,CA,H80CS00138
AAPHC Mobile Access Care Unit / MACU-1,Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Dougherty County,GA,H80CS00763
ARcare - 40,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Prairie County,AR,H80CS00207
Santa Paula West,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Ventura County,CA,H80CS00247
Prospect Hill Community Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Caswell County,NC,H80CS00086
HHC Honokaa Administration Site NHERC,No,Administrative,Permanent,Unknown,Hawaii County,HI,H80CS00451
"Women, Infants, and Children (WIC)  Caroline County",Yes,Service Delivery Site,Permanent,All Other Clinic Types,Caroline County,MD,H80CS00176
Rutland Community Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Rutland County,VT,H80CS06659
CHASS Woodward,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Wayne County,MI,H80CS00724
TENSAS COMMUNITY HEALTH CENTER,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Tensas Parish,LA,H80CS06450
Sumrall Middle School,Yes,Service Delivery Site,Seasonal,School,Lamar County,MS,H80CS00610
Valley Health Center Downtown,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Santa Clara County,CA,H80CS01442
Lone Star Circle of Care at Taylor,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Williamson County,TX,H80CS04289
"Centro Medico Community Clinic, Riverside",Yes,Service Delivery Site,Permanent,All Other Clinic Types,Riverside County,CA,[No Data]
The Wright Center for Community Health Northeast Scranton Intermediate School,Yes,Service Delivery Site,Seasonal,School,Lackawanna County,PA,[No Data]
RiteCare at Vineland ShopRite,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Cumberland County,NJ,H80CS00164
Rogers Park Middle School,Yes,Service Delivery Site,Seasonal,School,Western Connecticut Planning Region,CT,H80CS16640
Bluegrass Community Health Center - Mobile Unit 1,Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Fayette County,KY,H80CS33907
GOSHEN MEDICAL CENTER - COMMUNITY HEALTH SERVICES,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Wayne County,NC,H80CS00181
CS-HHC Mobile Van,Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,South Central Connecticut Planning Region,CT,H80CS00312
Ryan Health | NENA,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,New York County,NY,H80CS00061
"La Casa de Salud, Inc.",Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Bronx County,NY,H80CS26631
Northside Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Val Verde County,TX,H80CS00643
Mobile Health Van 2,Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Orange County,NY,H80CS00469
"HealthCare Choices NY, Inc. - East NY",Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Kings County,NY,H80CS22680
GHMS Cumming Family Health Center,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Forsyth County,GA,H80CS00470
AHL Iberville Alternative Positive Program for Students SBHC,Yes,Service Delivery Site,Seasonal,School,Iberville Parish,LA,H80CS00867
Washington West,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Philadelphia County,PA,[No Data]
Behavioral Health of Mount Vernon Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Knox County,OH,H80CS30716
Robeson Health Care Corporation,No,Administrative,Permanent,All Other Clinic Types,Robeson County,NC,H80CS00107
MCKINNEY COMMUNITY HEALTH CENTER,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Charlton County,GA,H80CS00506
Thundermist West Warwick,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Kent County,RI,H80CS00454
Grove Street Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Grant County,WV,H80CS00563
Jena Jr High SBHC,Yes,Service Delivery Site,Seasonal,School,LaSalle Parish,LA,H80CS00867
Macoupin County Mobile Behavioral and Medical Clinic,Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Macoupin County,IL,H80CS22690
NOELA Community Health Center,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Orleans Parish,LA,H80CS26582
155 Addison Street,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Suffolk County,MA,H80CS00058
Drakes Creek Middle Healthy Kids Clinic,Yes,Service Delivery Site,Permanent,School,Warren County,KY,H80CS08218
Adelante Healthcare West Phoenix,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Maricopa County,AZ,H80CS00140
Anthony Mental Health,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Dona Ana County,NM,H80CS00316
"The Hope Project, Inc.",Yes,Service Delivery Site,Permanent,All Other Clinic Types,Shelby County,TX,H80CS12850
MedLink Warrior Wellness Center,Yes,Service Delivery Site,Permanent,School,White County,GA,H80CS00427
JR Pharmacy Poplar,No,Administrative,Permanent,All Other Clinic Types,Vigo County,IN,H80CS08776
Administrative Annex,No,Administrative,Permanent,Unknown,Cook County,IL,H80CS00514
CHC - SBHC @ Washington High School,Yes,Service Delivery Site,Permanent,School,Somerset County,MD,H80CS00774
PMS - TEEN HEALTH CENTER-CAPITAL HS,Yes,Service Delivery Site,Permanent,School,Santa Fe County,NM,H80CS00205
FoundCare Belle Glade,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Palm Beach County,FL,H80CS26626
YourTown Health,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Meriwether County,GA,H80CS00460
Cornerstone Family Healthcare: The Centers for Womens Health and Adolescent and Pediatric Medicine,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Orange County,NY,H80CS00469
GVHC  - Dos Palos,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Merced County,CA,H80CS00742
HUGHES CLINIC,Yes,Service Delivery Site,Permanent,All Other Clinic Types,St. Francis County,AR,H80CS00122
Lawton Chiles Middle School,Yes,Service Delivery Site,Seasonal,School,Miami-Dade County,FL,H80CS00732
Santo Nino Maternal Fetal Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Los Angeles County,CA,[No Data]
North East Medical Services - Sullivan Suite 150,Yes,Service Delivery Site,Permanent,All Other Clinic Types,San Mateo County,CA,H80CS00221
Carolina Family Patient Support Services,No,Administrative,Permanent,Unknown,Wilson County,NC,H80CS00728
SBHC - Grant Middle School,Yes,Service Delivery Site,Permanent,School,Onondaga County,NY,H80CS00434
PrimaryOne Health Mobile Health Center NE,Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Franklin County,OH,H80CS00118
Amoskeag Health at West High School,Yes,Service Delivery Site,Seasonal,School,Hillsborough County,NH,H80CS00571
StayWell Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Naugatuck Valley Planning Region,CT,H80CS00350
Great Lakes Bay Health Centers Thumb Area,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Huron County,MI,H80CS00689
South County Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,St. Louis County,MO,[No Data]
Valleywise Comprehensive Health Center-Peoria,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Maricopa County,AZ,H80CS33644
DePaul Community Health Centers - Delgado Community College,Yes,Service Delivery Site,Permanent,School,Orleans Parish,LA,H80CS24198
SPANAWAY CLINIC,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Pierce County,WA,H80CS00481
IFC Community Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Orange County,NC,H80CS00086
Hot Springs Medical Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Madison County,NC,[No Data]
CitiCARES Community Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,New York County,NY,H80CS00368
"Southeast, Inc. - Martins Ferry Health Center",Yes,Service Delivery Site,Permanent,All Other Clinic Types,Belmont County,OH,H80CS22681
RB Stall High School,Yes,Service Delivery Site,Seasonal,School,Dorchester County,SC,H80CS09088
One Health - Community Partners,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Gallatin County,MT,H80CS24102
Whitley City Healthy Kids Clinic,Yes,Service Delivery Site,Permanent,School,McCreary County,KY,H80CS08218
Meridian Health Services Corp,Yes,Service Delivery Site,Permanent,School,Clinton County,IN,H80CS26567
"Family Health Care Clinic, Inc.- - Flowood",Yes,Service Delivery Site,Permanent,All Other Clinic Types,Rankin County,MS,H80CS00487
Womens Health Center (Lefrak),Yes,Service Delivery Site,Permanent,All Other Clinic Types,Queens County,NY,H80CS29018
Packing Shed Housing Camp,Yes,Service Delivery Site,Seasonal,All Other Clinic Types,Charleston County,SC,H80CS09088
Wayne Community School District,Yes,Service Delivery Site,Seasonal,School,Wayne County,IA,H80CS04200
LCHC Consolidated Site,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Middlesex County,MA,H80CS00397
San Ysidro Health Mountain Health Family Medicine,Yes,Service Delivery Site,Permanent,All Other Clinic Types,San Diego County,CA,H80CS10748
Bowen Center Marshall,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Marshall County,IN,[No Data]
Compass Health Inc.,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Warren County,MO,H80CS26563
Community Health Centers - South End,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Chittenden County,VT,H80CS00311
Cherry Street Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Kent County,MI,H80CS00770
Harmony Healthcare Long Island at Freeport High School,Yes,Service Delivery Site,Permanent,School,Nassau County,NY,H80CS00313
Vision Van #3,Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Lucas County,OH,H80CS04212
"Migrant Health Center, Western Region, Inc. Guanica Pharmacy",Yes,Service Delivery Site,Permanent,All Other Clinic Types,Guanica Municipio,PR,H80CS00620
"Comprehensive Community Health Centers, Inc-Eagle Rock",Yes,Service Delivery Site,Permanent,All Other Clinic Types,Los Angeles County,CA,H80CS10607
HealthPoint - Centerville,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Leon County,TX,H80CS00299
Mobile Health Center 2,Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Broward County,FL,H80CS00019
Central Counties Health Centers - Christian County,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Christian County,IL,H80CS00533
Carlos Vigil Middle School,Yes,Service Delivery Site,Permanent,School,Rio Arriba County,NM,H80CS00605
East Cliff Family Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Santa Cruz County,CA,H80CS24114
Southside Medical Center School Based Health Center at Kipp Vision,Yes,Service Delivery Site,Permanent,School,Fulton County,GA,H80CS00576
Evie Garrett Dennis Campus,Yes,Service Delivery Site,Seasonal,School,Denver County,CO,H80CS00218
Neighborcare Health at Pacific Tower,Yes,Service Delivery Site,Permanent,All Other Clinic Types,King County,WA,H80CS00829
CRHM Admin Building,No,Administrative,Permanent,All Other Clinic Types,Copper River Census Area,AK,H80CS01444
Community Health Center of Southeast Kansas Downtown,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Crawford County,KS,H80CS00841
Fresno Mobile Unit,Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Fresno County,CA,H80CS00540
East Hardin Middle Healthy Kids Clinic,Yes,Service Delivery Site,Permanent,School,Hardin County,KY,H80CS08218
GPHA - Maritime Academy Charter Health Suite,Yes,Service Delivery Site,Seasonal,School,Philadelphia County,PA,H80CS00708
250 Sumner Street,No,Administrative,Permanent,Unknown,Suffolk County,MA,H80CS00058
CASA DEL SOL,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Alameda County,CA,H80CS00631
Pennfield High School,Yes,Service Delivery Site,Permanent,School,Calhoun County,MI,H80CS00586
Horizon Pharmacy,No,Administrative,Permanent,All Other Clinic Types,Sussex County,VA,H80CS00352
VPCHC - Bloomingdale,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Parke County,IN,H80CS08776
RHCHC Oskaloosa Elementary School,Yes,Service Delivery Site,Seasonal,School,Mahaska County,IA,H80CS00796
BACHC PARKING GARAGE,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Los Angeles County,CA,H80CS22686
Bay Mills Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Chippewa County,MI,H80CS06664
Western Sierra Medical Clinic,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Nevada County,CA,H80CS08234
Grand Peaks Behavioral Health-South Fork Elementary Rigby,Yes,Service Delivery Site,Permanent,School,Jefferson County,ID,H80CS08756
St. George Medical Clinic - Davis-Thomas Elementary Middle School,Yes,Service Delivery Site,Permanent,School,Tucker County,WV,H80CS00845
Primary Healthcare Center Abbington at Linwood,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Walker County,GA,H80CS00649
"Gateway Community Health Centers, Inc. Mobile Primary Care Clinic",Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Gates County,NC,H80CS26893
First Choice Primary Care Warner Robins,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Houston County,GA,H80CS08242
CHN MDC Homestead,Yes,Service Delivery Site,Permanent,School,Miami-Dade County,FL,H80CS04214
ARcare - 077,Yes,Service Delivery Site,Permanent,All Other Clinic Types,White County,AR,H80CS00207
HANCOCK STREET CLINIC,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Norfolk County,MA,H80CS00600
Clinica de Salud del Valle de Salinas - Administration,No,Administrative,Permanent,All Other Clinic Types,Monterey County,CA,H80CS00232
LCHC at Salvation Army Freedom Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Cook County,IL,H80CS00725
Compass Health - House Springs,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Jefferson County,MO,H80CS26563
Brownsville Multi-Service Family Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Kings County,NY,H80CS00589
"MISSION CITY COMMUNITY NETWORK, INC.",Yes,Service Delivery Site,Permanent,All Other Clinic Types,Los Angeles County,CA,H80CS08241
WILLIAMS ELEM SCHOOL-SCH BASED,Yes,Service Delivery Site,Seasonal,School,Westchester County,NY,H80CS00161
Virginia Garcia/LifeWorks NW Beaverton,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Washington County,OR,H80CS00817
Trinity South Elementary,Yes,Service Delivery Site,Permanent,School,Washington County,PA,H80CS00705
George Ward Elementary School,Yes,Service Delivery Site,Seasonal,School,Randolph County,WV,H80CS00583
El Rio Health University Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Pima County,AZ,H80CS00230
Madera South High School: School-Based Health Center (SBHC),Yes,Service Delivery Site,Permanent,School,Madera County,CA,H80CS00143
East Salisbury SBHC,Yes,Service Delivery Site,Permanent,School,Wicomico County,MD,H80CS00774
Community Counseling and Wellness Centers-Bucyrus,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Crawford County,OH,H80CS00581
Atlantic Armory Health Center,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Kings County,NY,H80CS07914
TCC - Elmira Able2,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Chemung County,NY,H80CS24166
InteriorCHC Mobile Clinic,Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Fairbanks North Star Borough,AK,H80CS00745
Lake Superior Intermediate,Yes,Service Delivery Site,Seasonal,School,Ashland County,WI,H80CS08784
Jericho Road Community Health Center (City Mission),Yes,Service Delivery Site,Permanent,All Other Clinic Types,Erie County,NY,H80CS26630
MyCHN Lake Jackson,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Brazoria County,TX,H80CS11255
Salud at 64 Aspen Way,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Santa Cruz County,CA,H80CS00226
Key Largo Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Monroe County,FL,H80CS00821
Frontera Healthcare Network - Menard Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Menard County,TX,H80CS08225
Sun River Health Bronx Blvd,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Bronx County,NY,H80CS00313
TrueCare,Yes,Service Delivery Site,Permanent,All Other Clinic Types,San Diego County,CA,H80CS00228
Teche Health @ Pierre Part,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Assumption Parish,LA,H80CS00767
SISKIYOU COMMUNITY HEALTH CENTER - CAVE JUNCTION,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Josephine County,OR,H80CS00369
Will County Community Health Center - East,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Will County,IL,H80CS00476
Omni Family Health,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Kern County,CA,H80CS00615
W.Y.A. Community Mental Health Associates (CMHA),Yes,Service Delivery Site,Permanent,All Other Clinic Types,Capitol Planning Region,CT,H80CS00326
Equitas Health Pharmacy King Lincoln,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Franklin County,OH,[No Data]
Medical Care Coordinators Building,No,Administrative,Permanent,Unknown,Lincoln County,WV,H80CS00254
ACCESS Family Care Lamar Dental,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Barton County,MO,H80CS00673
Martinez Health Center-Family Practice 1B,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Contra Costa County,CA,H80CS00050
Caverna Elementary Healthy Kids Clinic,Yes,Service Delivery Site,Permanent,School,Barren County,KY,H80CS08218
Heart of Ohio Family Health at Mount Carmel,Yes,Service Delivery Site,Permanent,Hospital,Franklin County,OH,H80CS07897
AHS Family Health Center Skokie,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Cook County,IL,H80CS02327
Dr. William A. Chapman Elementary,Yes,Service Delivery Site,Seasonal,School,Miami-Dade County,FL,H80CS00821
J.W. STEWART NEIGHBORHOOD HEALTH CENTER,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Etowah County,AL,H80CS00658
PrimeCare Administration,No,Administrative,Permanent,All Other Clinic Types,Cook County,IL,H80CS00341
The Biltmore Building,No,Administrative,Permanent,Unknown,Multnomah County,OR,H80CS00234
MVHC Billing Office,No,Administrative,Permanent,All Other Clinic Types,Lassen County,CA,H80CS00260
Via Care Valley Community College,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Los Angeles County,CA,H80CS26617
Access School Health - Nettleton,Yes,Service Delivery Site,Seasonal,School,Lee County,MS,H80CS00633
ARcare - 45,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Jackson County,AR,H80CS00207
Unify Community Health,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Spokane County,WA,H80CS00639
United Health Centers Fresno Bullard 1780,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Fresno County,CA,H80CS00137
Grace Health Mobile Dental Unit #1,Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Calhoun County,MI,H80CS00586
DePaul Community Health Centers - Homer Plessy Treme Campus,Yes,Service Delivery Site,Seasonal,School,Orleans Parish,LA,H80CS24198
"Centro de Servicios Primarios de Salud de Patillas, Inc.",Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Patillas Municipio,PR,H80CS00747
CHS East Knox Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Knox County,TN,H80CS00309
Valley-Wide Counseling & Support Center - Rocky Ford,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Otero County,CO,H80CS00134
RHCHC - Jefferson County Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Jefferson County,IA,H80CS00796
Mobile Medical #7,Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Dallas County,TX,H80CS00039
PORT CHESTER HIGH SCHOOL-SBHC,Yes,Service Delivery Site,Permanent,School,Westchester County,NY,H80CS00160
Bloomington Health and Dental Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Monroe County,IN,H80CS00114
Sunset Community Health Center- San Luis,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Yuma County,AZ,H80CS04321
"AARON E. HENRY COMMUNITY HEALTH SERVICES CENTER, INC.",No,Administrative,Permanent,All Other Clinic Types,Coahoma County,MS,H80CS00480
Oak Orchard Health Pharmacy,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Monroe County,NY,H80CS00170
Berks Community Health Center - Mobile Unit,Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Berks County,PA,H80CS24146
MAHEC Family Health Center | Internal Medicine | Dental Health Center at Biltmore Primary Care Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Buncombe County,NC,[No Data]
CHASS PFC,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Wayne County,MI,H80CS00724
Signature Lakewood Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Cuyahoga County,OH,H80CS30718
Covenant House Medical Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Philadelphia County,PA,H80CS00071
AltaMed Medical Group:  Ramona Gardens,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Los Angeles County,CA,H80CS00142
Case Junior High School,Yes,Service Delivery Site,Seasonal,School,Jefferson County,NY,H80CS24165
ReGenesis Health Care - Westview Elementary School,Yes,Service Delivery Site,Seasonal,School,Spartanburg County,SC,H80CS00298
Primary Health Care - Marshalltown Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Marshall County,IA,H80CS00715
COMMUNITY HEALTH CENTERS BROADWAY DENTAL,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Santa Barbara County,CA,H80CS00621
I.A. Lewis School Based Clinic,Yes,Service Delivery Site,Seasonal,School,Lincoln Parish,LA,H80CS12857
Northern Nevada HIV Outpatient Program Education and Services--4th St. Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Washoe County,NV,H80CS26605
Centro Medico Community Clinic Los Angeles,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Los Angeles County,CA,[No Data]
JACKSON-HINDS-ISABLE ELEMENTARY SCHOOL SBHC,Yes,Service Delivery Site,Seasonal,School,Hinds County,MS,H80CS00084
Agape Community Health Center/Blanding,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Duval County,FL,H80CS29456
AltaMed Medical Group - Bell Gardens,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Los Angeles County,CA,H80CS00142
PMS - MAGDALENA AREA HLTH CENTER,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Socorro County,NM,H80CS00205
BAY POINT COMMUNITY WELLNESS CEN,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Contra Costa County,CA,H80CS00050
Star City High School Clinic,Yes,Service Delivery Site,Seasonal,School,Lincoln County,AR,H80CS00638
SCENIC RIVERS HEALTH SERVICES,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Koochiching County,MN,H80CS00706
Camarena Health Oakhurst Urgent Care,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Madera County,CA,H80CS00143
"Covenant Community Care, Inc.",Yes,Service Delivery Site,Permanent,All Other Clinic Types,Wayne County,MI,H80CS08738
"Vibrant Health, Central Ste 217",No,Administrative,Permanent,All Other Clinic Types,Wyandotte County,KS,H80CS33652
ReGenesis Health Care - Gaffney Middle School,Yes,Service Delivery Site,Seasonal,School,Cherokee County,SC,H80CS00298
PMS - Atalaya Elementary School,Yes,Service Delivery Site,Seasonal,School,Santa Fe County,NM,H80CS00205
CS-HHC Ansonia,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Naugatuck Valley Planning Region,CT,H80CS00312
KCS Health Center  Mobile,Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Orange County,CA,H80CS33646
Metcalfe Family Medical Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Metcalfe County,KY,H80CS08218
CBH Admin Building,No,Administrative,Permanent,All Other Clinic Types,St. Joseph County,MI,H80CS29457
PORT CHESTER MIDDLE SCHOOL - SBHC,Yes,Service Delivery Site,Permanent,School,Westchester County,NY,H80CS00160
"BLAND COUNTY MEDICAL CLINIC, INC.",Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Bland County,VA,H80CS00331
HIGHLAND HEALTH CENTER,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Scott County,TN,H80CS00467
"Pinnacle Family Health, Inc.",Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Ouachita Parish,LA,[No Data]
Grace SBHC Middlesboro Middle School,Yes,Service Delivery Site,Seasonal,School,Bell County,KY,H80CS09959
PureView Learning Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Lewis and Clark County,MT,H80CS33884
Bossier Community Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Bossier Parish,LA,H80CS12857
YouthLink,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Hennepin County,MN,H80CS00028
University Hill Elementary School,Yes,Service Delivery Site,Seasonal,School,Boulder County,CO,H80CS00690
Adelante Healthcare Surprise,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Maricopa County,AZ,H80CS00140
East Albany Family Medical Center,No,Administrative,Permanent,All Other Clinic Types,Dougherty County,GA,H80CS00763
VNA Health Center - Carol Stream,Yes,Service Delivery Site,Permanent,All Other Clinic Types,DuPage County,IL,H80CS03983
Noble Community Clinics - Beaver Dam Spring Street,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Dodge County,WI,H80CS00713
